bipad_level,bipad_id,bipad_code,bipad_title_en,geography_code,geography_name_en,evidence
district,1,taplejung,Taplejung,NP0101,Taplejung,both
district,2,panchthar,Panchthar,NP0102,Panchthar,both
district,3,ilam,Ilam,NP0103,Ilam,both
district,4,jhapa,Jhapa,NP0104,Jhapa,both
district,5,morang,Morang,NP0105,Morang,both
district,6,sunsari,Sunsari,NP0106,Sunsari,both
district,7,dhankuta,Dhankuta,NP0107,Dhankuta,both
district,8,tehrathum,Terhathum,NP0108,Terhathum,both
district,10,sankhuwasabha,Sankhuwasabha,NP0109,Sankhuwasabha,both
district,9,bhojpur,Bhojpur,NP0110,Bhojpur,both
district,11,solukhumbu,Solukhumbu,NP0111,Solukhumbu,both
district,12,khotang,Khotang,NP0112,Khotang,both
district,13,okhaldhunga,Okhaldhunga,NP0113,Okhaldhunga,both
district,14,udayapur,Udayapur,NP0114,Udayapur,both
district,16,saptari,Saptari,NP0215,Saptari,both
district,15,siraha,Siraha,NP0216,Siraha,both
district,17,dhanusha,Dhanusa,NP0217,Dhanusha,boundary
district,18,mahottari,Mahottari,NP0218,Mahottari,both
district,19,sarlahi,Sarlahi,NP0219,Sarlahi,both
district,32,rautahat,Rautahat,NP0232,Rautahat,both
district,33,bara,Bara,NP0233,Bara,both
district,34,parsa,Parsa,NP0234,Parsa,both
district,20,sindhuli,Sindhuli,NP0320,Sindhuli,both
district,21,ramechhap,Ramechhap,NP0321,Ramechhap,both
district,22,dolakha,Dolakha,NP0322,Dolakha,both
district,24,sindhupalchowk,Sindhupalchok,NP0323,Sindhupalchok,both
district,30,kavre,Kavrepalanchok,NP0324,Kabhrepalanchok,boundary
district,28,lalitpur,Lalitpur,NP0325,Lalitpur,both
district,29,bhaktapur,Bhaktapur,NP0326,Bhaktapur,both
district,27,ktm,Kathmandu,NP0327,Kathmandu,both
district,25,nuwakot,Nuwakot,NP0328,Nuwakot,both
district,23,rasuwa,Rasuwa,NP0329,Rasuwa,both
district,26,dhading,Dhading,NP0330,Dhading,both
district,31,makwanpur,Makwanpur,NP0331,Makawanpur,boundary
district,35,chitwan,Chitwan,NP0335,Chitawan,boundary
district,44,gorkha,Gorkha,NP0436,Gorkha,both
district,45,lamjung,Lamjung,NP0437,Lamjung,both
district,47,manang,Manang,NP0438,Manang,both
district,46,kaski,Kaski,NP0439,Kaski,both
district,43,tanahun,Tanahu,NP0440,Tanahu,both
district,42,syangja,Syangja,NP0441,Syangja,both
district,51,parbat,Parbat,NP0442,Parbat,both
district,50,baglung,Baglung,NP0443,Baglung,both
district,49,myagdi,Myagdi,NP0444,Myagdi,both
district,48,mustang,Mustang,NP0445,Mustang,both
district,481,nawalparasieast,Nawalparasi East,NP0447,Nawalparasi East,both
district,39,palpa,Palpa,NP0546,Palpa,both
district,482,nawalparasiwest,Nawalparasi West,NP0547,Nawalparasi West,both
district,37,rupandehi,Rupandehi,NP0548,Rupandehi,both
district,38,kapilvastu,Kapilbastu,NP0549,Kapilbastu,both
district,40,arghakhanchi,Arghakhanchi,NP0550,Arghakhanchi,both
district,41,gulmi,Gulmi,NP0551,Gulmi,both
district,541,rukumeast,Rukum East,NP0552,Rukum East,both
district,54,rolpa,Rolpa,NP0554,Rolpa,both
district,53,pyuthan,Pyuthan,NP0555,Pyuthan,both
district,52,dang,Dang,NP0556,Dang,both
district,66,banke,Banke,NP0557,Banke,both
district,65,bardiya,Bardiya,NP0558,Bardiya,both
district,542,rukumwest,Rukum West,NP0652,Rukum West,both
district,55,salyan,Salyan,NP0653,Salyan,both
district,64,surkhet,Surkhet,NP0659,Surkhet,both
district,62,jajarkot,Jajarkot,NP0660,Jajarkot,both
district,63,dailekh,Dailekh,NP0661,Dailekh,both
district,57,dolpa,Dolpa,NP0662,Dolpa,both
district,60,jumla,Jumla,NP0663,Jumla,both
district,61,kalikot,Kalikot,NP0664,Kalikot,both
district,58,mugu,Mugu,NP0665,Mugu,both
district,59,humla,Humla,NP0666,Humla,both
district,71,bajhang,Bajhang,NP0767,Bajhang,both
district,70,bajura,Bajura,NP0768,Bajura,both
district,69,achham,Achham,NP0769,Achham,both
district,68,doti,Doti,NP0770,Doti,both
district,67,kailali,Kailali,NP0771,Kailali,both
district,75,kanchanpur,Kanchanpur,NP0772,Kanchanpur,both
district,74,dadeldhura,Dadeldhura,NP0773,Dadeldhura,both
district,73,baitadi,Baitadi,NP0774,Baitadi,both
district,72,darchula,Darchula,NP0775,Darchula,both
municipality,1006,phunglingmun,Phungling,NP0101301,Phungling,both
municipality,1005,phaktanglungmun,Phaktanglung,NP0101401,Phaktanlung,boundary
municipality,1004,mikwakholamun,Mikwakhola,NP0101402,Mikwakhola,both
municipality,1008,sirijanghamun,Sirijangha,NP0101403,Sirijanga,boundary
municipality,1003,meringdenmun,Meringden,NP0101404,Meringden,both
municipality,1002,maiwakholamun,Maiwakhola,NP0101405,Maiwakhola,both
municipality,1001,aathraitribenimun,Aathrai Tribeni,NP0101406,Aatharai Tribeni,boundary
municipality,1009,yangwarakmuntaplejung,Pathibhara Yangwarak,NP0101407,Pathivara Yangwarak,boundary
municipality,1007,sidingbamun,Sidingba,NP0101408,Sidingba,both
municipality,2006,phidimmun,Phidim,NP0102301,Phidim,both
municipality,2003,hilihangmun,Hilihang,NP0102401,Hilihan,boundary
municipality,2008,yangwarakmunpanchthar,Yangwarak,NP0102402,Yangbarak,boundary
municipality,2001,phalelungmun,Falelung,NP0102403,Falelung,both
municipality,2004,kummayakmun,Kummayak,NP0102404,Kummayak,both
municipality,2002,phalgunandamun,Falgunanda,NP0102405,Falgunanda,both
municipality,2007,tumwewamun,Tumbewa,NP0102406,Tumbewa,both
municipality,2005,miklajungmunpanchthar,Miklajung,NP0102407,Miklajung,both
municipality,3002,deumaimun,Deumai,NP0103301,Deumai,both
municipality,3004,ilammun,Ilam,NP0103302,Illam,boundary
municipality,3010,suryodayamun,Suryodaya,NP0103303,Suryodaya,both
municipality,3005,maimun,Mai,NP0103304,Mai,both
municipality,3003,phakphokthummun,Phakphokthum,NP0103401,Fakfokathum,boundary
municipality,3009,sandakpurmun,Sandakpur,NP0103402,Sandakpur,both
municipality,3006,maijogmaimun,Maijogmai,NP0103403,Mai Jogmai,both
municipality,3001,chulachulimun,Chulachuli,NP0103404,Chulachuli,both
municipality,3007,mansebungmun,Mangsebung,NP0103405,Mangsebung,both
municipality,3008,rongmun,Rong,NP0103406,Rong,both
municipality,4006,damakmun,Damak,NP0104301,Damak,both
municipality,4015,shivasatakshimun,Shivasataxi,NP0104302,Shivasatakshi,boundary
municipality,4013,kankaimun,Kankai,NP0104303,Kankai,both
municipality,4001,arjundharamun,Arjundhara,NP0104304,Arjundhara,both
municipality,4014,mechinagarmun,Mechinagar,NP0104305,Mechinagar,both
municipality,4007,gauradahamun,Gauradhaha,NP0104306,Gauradaha,boundary
municipality,4004,birtamodmun,Birtamode,NP0104307,Birtamod,boundary
municipality,4003,bhadrapurmun,Bhadrapur,NP0104308,Bhadrapur,both
municipality,4012,kamalmun,Kamal,NP0104401,Kamal,both
municipality,4005,buddhashantimun,Buddhashanti,NP0104402,Buddhashanti,both
municipality,4008,gaurigunjmun,Gauriganj,NP0104403,Gauriganj,both
municipality,4010,jhapamun,Jhapa,NP0104404,Jhapa,both
municipality,4002,bahradashimun,Barhadashi,NP0104405,Barhadashi,both
municipality,4009,haldibarimun,Haldibari,NP0104406,Haldibari,both
municipality,4011,kachankawalmun,Kachankawal,NP0104407,Kachanakawal,boundary
municipality,5002,biratnagarmun,Biratnagar,NP0105101,Biratnagar,both
municipality,5010,letangmun,Letang,NP0105301,Letang,both
