ecn_local_cd,geo_code,name_en,ecn_name_en,ecn_name_ne,ecn_district,how_matched
5001,NP0101406,Aatharai Tribeni,Aathrai Tribeni,आठराई त्रिवेणी गाउँपालिका,Taplejung,geometry: interior point inside exactly one municipality
5002,NP0101401,Phaktanlung,Phaktanglung,फक्ताङलुङ गाउँपालिका,Taplejung,geometry: interior point inside exactly one municipality
5003,NP0101301,Phungling,Phungling,फुङलिङ नगरपालिका,Taplejung,English name within the district (geometry agreed)
5004,NP0101402,Mikwakhola,Mikwakhola,मिक्वाखोला गाउँपालिका,Taplejung,English name within the district (geometry agreed)
5005,NP0101404,Meringden,Meringden,मेरिङदेन गाउँपालिका,Taplejung,English name within the district (geometry agreed)
5006,NP0101405,Maiwakhola,Maiwakhola,मैवाखोला गाउँपालिका,Taplejung,English name within the district (geometry agreed)
5007,NP0101407,Pathivara Yangwarak,Pathivara Yangwarak,पाथीभरा याङवरक गाउँपालिका,Taplejung,English name within the district (geometry agreed)
5008,NP0101408,Sidingba,Sidingba,सिदिङ्वा गाउँपालिका,Taplejung,English name within the district (geometry agreed)
5009,NP0101403,Sirijanga,Sirijangha,सिरीजङ्घा गाउँपालिका,Taplejung,geometry: interior point inside exactly one municipality
5010,NP0102404,Kummayak,Kummayak,कुम्मायक गाउँपालिका,Panchthar,English name within the district (geometry agreed)
5011,NP0102406,Tumbewa,Tumbewa,तुम्वेवा गाउँपालिका,Panchthar,English name within the district (geometry agreed)
5012,NP0102403,Falelung,Falelung,फालेलुङ गाउँपालिका,Panchthar,English name within the district (geometry agreed)
5013,NP0102405,Falgunanda,Falgunanda,फाल्गुनन्द गाउँपालिका,Panchthar,English name within the district (geometry agreed)
5014,NP0102301,Phidim,Phidim,फिदिम नगरपालिका,Panchthar,English name within the district (geometry agreed)
5015,NP0102407,Miklajung,Miklajung,मिक्लाजुङ गाउँपालिका,Panchthar,English name within the district (geometry agreed)
5016,NP0102402,Yangbarak,Yangwarak,याङवरक गाउँपालिका,Panchthar,geometry: interior point inside exactly one municipality
5017,NP0102401,Hilihan,Hilihang,हिलिहाङ गाउँपालिका,Panchthar,geometry: interior point inside exactly one municipality
5018,NP0103302,Illam,Illam,इलाम नगरपालिका,Ilam,English name within the district (geometry agreed)
5019,NP0103404,Chulachuli,Chulachuli,चुलाचुली गाउँपालिका,Ilam,English name within the district (geometry put it in a neighbour)
5020,NP0103301,Deumai,Deumai,देउमाई नगरपालिका,Ilam,English name within the district (geometry agreed)
5021,NP0103401,Fakfokathum,Fakphokthum,फाकफोकथुम गाउँपालिका,Ilam,geometry: interior point inside exactly one municipality
