code,name_en,name_ne,level,parent_code,valid_from,valid_to,geometry_ref
NPOR1,Eastern Region,,old_region,NP,1972-01-01,2015-09-20,
NPOR2,Central Region,,old_region,NP,1972-01-01,2015-09-20,
NPOR3,Western Region,,old_region,NP,1972-01-01,2015-09-20,
NPOR4,Mid-Western Region,,old_region,NP,1972-01-01,2015-09-20,
NPOR5,Far Western Region,,old_region,NP,1972-01-01,2015-09-20,
NPO001,Taplejung,ताप्लेजुङ्ग,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001001001
NPO009,Sankhuwasabha,संखुवासभा,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001001009
NPO011,Solukhumbu,सोलुखुम्बु,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001001011
NPO002,Panchthar,पाँचथर,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002002
NPO003,Ilam,इलाम,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002003
NPO007,Dhankuta,धनकुटा,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002007
NPO008,Terhathum,तेह्रथुम,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002008
NPO010,Bhojpur,भोजपुर,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002010
NPO012,Okhaldhunga,ओखलढुंगा,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002012
NPO013,Khotang,खोटाङ्ग,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002013
NPO014,Udayapur,उदयपुर,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001002014
NPO004,Jhapa,झापा,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001003004
NPO005,Morang,मोरङ्ग,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001003005
NPO006,Sunsari,सुनसरी,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001003006
NPO015,Saptari,सप्तरी,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001003015
NPO016,Siraha,सिराहा,old_district,NPOR1,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=001003016
NPO022,Dolakha,दोलखा,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002004022
NPO023,Sindhupalchoke,सिन्धुपाल्चोक,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002004023
NPO029,Rasuwa,रसुवा,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002004029
NPO020,Sindhuli,सिन्धुली,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005020
NPO021,Ramechhap,रामेछाप,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005021
NPO024,Kavre,काभ्रेपलाञ्चोक,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005024
NPO025,Lalitpur,ललितपुर,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005025
NPO026,Bhaktapur,भक्तपुर,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005026
NPO027,Kathmandu,काठमाडौँ,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005027
NPO028,Nuwakot,नुवाकोट,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005028
NPO030,Dhading,धादिङ्ग,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005030
NPO031,Makwanpur,मकवानपुर,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002005031
NPO017,Dhanusa,धनुषा,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006017
NPO018,Mahotari,महोत्तरी,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006018
NPO019,Sarlahi,सर्लाही,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006019
NPO032,Rautahat,रौतहट,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006032
NPO033,Bara,बारा,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006033
NPO034,Parsa,पर्सा,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006034
NPO035,Chitawan,चितवन,old_district,NPOR2,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=002006035
NPO041,Manang,मनाङ्ग,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003007041
NPO042,Mustang,मुस्ताङ्ग,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003007042
NPO036,Gorkha,गोरखा,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008036
NPO037,Lamjung,लमजुङ्ग,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008037
NPO038,Tanahu,तनँहु,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008038
NPO039,Syangja,स्याङ्जा,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008039
NPO040,Kaski,कास्की,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008040
NPO043,Myagdi,म्याग्दी,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008043
NPO044,Parbat,पर्वत,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008044
NPO045,Baglung,बाग्लुङ्ग,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008045
NPO046,Gulmi,गुल्मी,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008046
NPO047,Palpa,पाल्पा,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008047
NPO051,Arghakanchi,अर्घाखाँची,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003008051
NPO048,Nawalparasi,,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003009048
NPO049,Rupandehi,रुपन्देही,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003009049
NPO050,Kapilbastu,कपिलबस्तु,old_district,NPOR3,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=003009050
NPO062,Dolpa,डोल्पा,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004010062
NPO063,Jumla,जुम्ला,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004010063
NPO064,Kalikot,कालीकोट,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004010064
NPO065,Mugu,मुगु,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004010065
NPO066,Humla,हुम्ला,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004010066
NPO052,Pyuthan,प्युठान,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011052
NPO053,Rolpa,रोल्पा,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011053
NPO054,Rukum,,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011054
NPO055,Salyan,सल्यान,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011055
NPO059,Surkhet,सुर्खेत,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011059
NPO060,Dailekh,दैलेख,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011060
NPO061,Jajarkot,जाजरकोट,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004011061
NPO056,Dang,दाङ्ग,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004012056
NPO057,Banke,बाकेँ,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004012057
NPO058,Bardiya,बर्दिया,old_district,NPOR4,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=004012058
NPO067,Bajura,बाजुरा,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005013067
NPO068,Bajhang,बझाङ्ग,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005013068
NPO075,Darchula,दार्चुला,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005013075
NPO069,Achham,अछाम,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005014069
NPO070,Doti,डोटी,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005014070
NPO073,Dadeldhura,डडेल्धुरा,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005014073
NPO074,Baitadi,बैतडी,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005014074
NPO071,Kailali,कैलाली,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005015071
NPO072,Kanchanpur,कञ्चनपुर,old_district,NPOR5,1972-01-01,2015-09-20,DESINVENTAR_LEVEL1=005015072
