old_code,old_name_en,new_code,allocation_share,method,note
NPO001,Taplejung,NP0101,1.0,exact_name,
NPO009,Sankhuwasabha,NP0109,1.0,exact_name,
NPO011,Solukhumbu,NP0111,1.0,exact_name,
NPO002,Panchthar,NP0102,1.0,exact_name,
NPO003,Ilam,NP0103,1.0,exact_name,
NPO007,Dhankuta,NP0107,1.0,exact_name,
NPO008,Terhathum,NP0108,1.0,exact_name,
NPO010,Bhojpur,NP0110,1.0,exact_name,
NPO012,Okhaldhunga,NP0113,1.0,exact_name,
NPO013,Khotang,NP0112,1.0,exact_name,
NPO014,Udayapur,NP0114,1.0,exact_name,
NPO004,Jhapa,NP0104,1.0,exact_name,
NPO005,Morang,NP0105,1.0,exact_name,
NPO006,Sunsari,NP0106,1.0,exact_name,
NPO015,Saptari,NP0215,1.0,exact_name,
NPO016,Siraha,NP0216,1.0,exact_name,
NPO022,Dolakha,NP0322,1.0,exact_name,
NPO023,Sindhupalchoke,NP0323,1.0,manual_review,"same district, different romanisation"
NPO029,Rasuwa,NP0329,1.0,exact_name,
NPO020,Sindhuli,NP0320,1.0,exact_name,
NPO021,Ramechhap,NP0321,1.0,exact_name,
NPO024,Kavre,NP0324,1.0,manual_review,"same district, different romanisation"
NPO025,Lalitpur,NP0325,1.0,exact_name,
NPO026,Bhaktapur,NP0326,1.0,exact_name,
NPO027,Kathmandu,NP0327,1.0,exact_name,
NPO028,Nuwakot,NP0328,1.0,exact_name,
NPO030,Dhading,NP0330,1.0,exact_name,
NPO031,Makwanpur,NP0331,1.0,manual_review,"same district, different romanisation"
NPO017,Dhanusa,NP0217,1.0,manual_review,"same district, different romanisation"
NPO018,Mahotari,NP0218,1.0,manual_review,"same district, different romanisation"
NPO019,Sarlahi,NP0219,1.0,exact_name,
NPO032,Rautahat,NP0232,1.0,exact_name,
NPO033,Bara,NP0233,1.0,exact_name,
NPO034,Parsa,NP0234,1.0,exact_name,
NPO035,Chitawan,NP0335,1.0,exact_name,
NPO041,Manang,NP0438,1.0,exact_name,
NPO042,Mustang,NP0445,1.0,exact_name,
NPO036,Gorkha,NP0436,1.0,exact_name,
NPO037,Lamjung,NP0437,1.0,exact_name,
NPO038,Tanahu,NP0440,1.0,exact_name,
NPO039,Syangja,NP0441,1.0,exact_name,
NPO040,Kaski,NP0439,1.0,exact_name,
NPO043,Myagdi,NP0444,1.0,exact_name,
NPO044,Parbat,NP0442,1.0,exact_name,
NPO045,Baglung,NP0443,1.0,exact_name,
NPO046,Gulmi,NP0551,1.0,exact_name,
NPO047,Palpa,NP0546,1.0,exact_name,
NPO051,Arghakanchi,NP0550,1.0,manual_review,"same district, different romanisation"
NPO049,Rupandehi,NP0548,1.0,exact_name,
NPO050,Kapilbastu,NP0549,1.0,exact_name,
NPO062,Dolpa,NP0662,1.0,exact_name,
NPO063,Jumla,NP0663,1.0,exact_name,
NPO064,Kalikot,NP0664,1.0,exact_name,
NPO065,Mugu,NP0665,1.0,exact_name,
NPO066,Humla,NP0666,1.0,exact_name,
NPO052,Pyuthan,NP0555,1.0,exact_name,
NPO053,Rolpa,NP0554,1.0,exact_name,
NPO055,Salyan,NP0653,1.0,exact_name,
NPO059,Surkhet,NP0659,1.0,exact_name,
NPO060,Dailekh,NP0661,1.0,exact_name,
NPO061,Jajarkot,NP0660,1.0,exact_name,
NPO056,Dang,NP0556,1.0,exact_name,
NPO057,Banke,NP0557,1.0,exact_name,
NPO058,Bardiya,NP0558,1.0,exact_name,
NPO067,Bajura,NP0768,1.0,exact_name,
NPO068,Bajhang,NP0767,1.0,exact_name,
NPO075,Darchula,NP0775,1.0,exact_name,
NPO069,Achham,NP0769,1.0,exact_name,
NPO070,Doti,NP0770,1.0,exact_name,
NPO073,Dadeldhura,NP0773,1.0,exact_name,
NPO074,Baitadi,NP0774,1.0,exact_name,
NPO071,Kailali,NP0771,1.0,exact_name,
NPO072,Kanchanpur,NP0772,1.0,exact_name,
