code,wdi_code,topic,unit_code
GDP_USD,NY.GDP.MKTP.CD,economy,USD
GDP_GROWTH,NY.GDP.MKTP.KD.ZG,economy,PCT
GDP_PCAP_USD,NY.GDP.PCAP.CD,economy,USD
CPI_YOY,FP.CPI.TOTL.ZG,economy,PCT
POP_TOTAL,SP.POP.TOTL,population,PERSONS
POP_GROWTH,SP.POP.GROW,population,PCT
LIFE_EXPECTANCY,SP.DYN.LE00.IN,health,YEARS
INFANT_MORTALITY,SP.DYN.IMRT.IN,health,PER_1000_LIVE_BIRTHS
ADULT_LITERACY,SE.ADT.LITR.ZS,education,PCT
SCHOOL_ENROLL_PRIMARY,SE.PRM.ENRR,education,PCT
UNEMPLOYMENT,SL.UEM.TOTL.ZS,labor,PCT
REMITTANCES_USD,BX.TRF.PWKR.CD.DT,economy,USD
REMITTANCES_GDP,BX.TRF.PWKR.DT.GD.ZS,economy,PCT
EXPORTS_GDP,NE.EXP.GNFS.ZS,economy,PCT
IMPORTS_GDP,NE.IMP.GNFS.ZS,economy,PCT
RESERVES_USD,FI.RES.TOTL.CD,economy,USD
URBAN_POP_PCT,SP.URB.TOTL.IN.ZS,population,PCT
ELECTRICITY_ACCESS,EG.ELC.ACCS.ZS,environment,PCT
INTERNET_USERS,IT.NET.USER.ZS,economy,PCT
FDI_USD,BX.KLT.DINV.CD.WD,economy,USD
