code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_HHLD01_ROWTOTAL,Ownership Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:rowtotal
CENSUS_HHLD01_A_OWN,Ownership Of House: a_Own (Census 2021),"Source column a_Own from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:a_Own
CENSUS_HHLD01_B_RENTED,Ownership Of House: b_Rented (Census 2021),"Source column b_Rented from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:b_Rented
CENSUS_HHLD01_C_INSTITUTNL,Ownership Of House: c_Institutnl (Census 2021),"Source column c_Institutnl from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:c_Institutnl
CENSUS_HHLD01_D_OTHER,Ownership Of House: d_Other (Census 2021),"Source column d_Other from Hhld01_OwnershipOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,population,Hhld01_OwnershipOfHouse:d_Other
CENSUS_HHLD02_ROWTOTAL,Foundation Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:rowtotal
CENSUS_HHLD02_A_MUDBONDBRICK,Foundation Of House: a_MudBondBrick (Census 2021),"Source column a_MudBondBrick from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:a_MudBondBrick
CENSUS_HHLD02_B_CMNTBONDBRICK,Foundation Of House: b_CmntBondBrick (Census 2021),"Source column b_CmntBondBrick from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:b_CmntBondBrick
CENSUS_HHLD02_C_RCC,Foundation Of House: c_RCC (Census 2021),"Source column c_RCC from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:c_RCC
CENSUS_HHLD02_D_WOODPILLAR,Foundation Of House: d_WoodPillar (Census 2021),"Source column d_WoodPillar from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:d_WoodPillar
CENSUS_HHLD02_E_OTHER,Foundation Of House: e_Other (Census 2021),"Source column e_Other from Hhld02_FoundationOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld02_FoundationOfHouse:e_Other
CENSUS_HHLD03_ROWTOTAL,Outerwall Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:rowtotal
CENSUS_HHLD03_A_MUDBONDBRICK,Outerwall Of House: a_MudBondBrick (Census 2021),"Source column a_MudBondBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:a_MudBondBrick
CENSUS_HHLD03_B_CMNTBONDBRICK,Outerwall Of House: b_CmntBondBrick (Census 2021),"Source column b_CmntBondBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:b_CmntBondBrick
CENSUS_HHLD03_C_WOOD,Outerwall Of House: c_Wood (Census 2021),"Source column c_Wood from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:c_Wood
CENSUS_HHLD03_D_BAMBOO,Outerwall Of House: d_Bamboo (Census 2021),"Source column d_Bamboo from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:d_Bamboo
CENSUS_HHLD03_E_UNBAKEBRICK,Outerwall Of House: e_UnbakeBrick (Census 2021),"Source column e_UnbakeBrick from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:e_UnbakeBrick
CENSUS_HHLD03_F_GALVSHEET,Outerwall Of House: f_GalvSheet (Census 2021),"Source column f_GalvSheet from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:f_GalvSheet
CENSUS_HHLD03_G_PREFAB,Outerwall Of House: g_Prefab (Census 2021),"Source column g_Prefab from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:g_Prefab
CENSUS_HHLD03_H_OTHER,Outerwall Of House: h_Other (Census 2021),"Source column h_Other from Hhld03_OuterwallOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld03_OuterwallOfHouse:h_Other
CENSUS_HHLD04_ROWTOTAL,Roof Of House: rowtotal (Census 2021),"Source column rowtotal from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:rowtotal
CENSUS_HHLD04_A_GALVSHEET,Roof Of House: a_GalvSheet (Census 2021),"Source column a_GalvSheet from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:a_GalvSheet
CENSUS_HHLD04_B_CEMENT,Roof Of House: b_Cement (Census 2021),"Source column b_Cement from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:b_Cement
CENSUS_HHLD04_C_THATCH,Roof Of House: c_Thatch (Census 2021),"Source column c_Thatch from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:c_Thatch
CENSUS_HHLD04_D_TILE,Roof Of House: d_Tile (Census 2021),"Source column d_Tile from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:d_Tile
CENSUS_HHLD04_E_STONE,Roof Of House: e_Stone (Census 2021),"Source column e_Stone from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:e_Stone
CENSUS_HHLD04_F_WOOD,Roof Of House: f_Wood (Census 2021),"Source column f_Wood from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:f_Wood
CENSUS_HHLD04_G_MUD,Roof Of House: g_Mud (Census 2021),"Source column g_Mud from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:g_Mud
CENSUS_HHLD04_H_OTHER,Roof Of House: h_Other (Census 2021),"Source column h_Other from Hhld04_RoofOfHouse.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld04_RoofOfHouse:h_Other
CENSUS_HHLD07_ROWTOTAL,Households by cooking fuel (Census 2021),"Source column rowtotal from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:rowtotal
CENSUS_HHLD07_A_FIREWOOD,Cooking fuel: firewood (Census 2021),"Source column a_firewood from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:a_firewood
CENSUS_HHLD07_B_LPGAS,Cooking fuel: LP gas (Census 2021),"Source column b_LPGas from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:b_LPGas
CENSUS_HHLD07_C_ELECTRICITY,Cooking fuel: electricity (Census 2021),"Source column c_Electricity from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:c_Electricity
CENSUS_HHLD07_D_COWDUNG,Cooking fuel: cow dung (Census 2021),"Source column d_Cowdung from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:d_Cowdung
CENSUS_HHLD07_E_BIOGAS,Cooking fuel: biogas (Census 2021),"Source column e_BioGas from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:e_BioGas
CENSUS_HHLD07_F_KEROSENE,Cooking fuel: kerosene (Census 2021),"Source column f_Kerosene from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:f_Kerosene
CENSUS_HHLD07_G_OTHERS,Cooking fuel: other (Census 2021),"Source column g_Others from Hhld07_TypeOfCookingFuel.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld07_TypeOfCookingFuel:g_Others
CENSUS_HHLD08_ROWTOTAL,Source Of Lighting: rowtotal (Census 2021),"Source column rowtotal from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:rowtotal
CENSUS_HHLD08_A_ELECTRICITY,Source Of Lighting: a_Electricity (Census 2021),"Source column a_Electricity from Hhld08_SourceOfLighting.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",HOUSEHOLDS,health,Hhld08_SourceOfLighting:a_Electricity
