code,wdi_code,name_wb,topic,unit_code,wb_topic,latest_year,latest_value
AG_CON_FERT_ZS,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),agriculture,KG_PER_HECTARE,Agriculture & Rural Development,2023,67.842887238053
AG_LND_AGRI_K2,AG.LND.AGRI.K2,Agricultural land (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2023,37441.0
AG_LND_AGRI_ZS,AG.LND.AGRI.ZS,Agricultural land (% of land area),agriculture,PCT,Agriculture & Rural Development,2023,26.1185908615277
AG_LND_ARBL_HA,AG.LND.ARBL.HA,Arable land (hectares),agriculture,HECTARES,Agriculture & Rural Development,2023,1803800.0
AG_LND_ARBL_HA_PC,AG.LND.ARBL.HA.PC,Arable land (hectares per person),agriculture,HECTARES_PER_PERSON,Agriculture & Rural Development,2023,0.060745022649562
AG_LND_ARBL_ZS,AG.LND.ARBL.ZS,Arable land (% of land area),agriculture,PCT,Agriculture & Rural Development,2023,12.5831880013952
AG_LND_CREL_HA,AG.LND.CREL.HA,Land under cereal production (hectares),agriculture,HECTARES,Agriculture & Rural Development,2023,3334346.0
AG_LND_CROP_ZS,AG.LND.CROP.ZS,Permanent cropland (% of land area),agriculture,PCT,Agriculture & Rural Development,2023,1.01151028950122
AG_LND_EL5M_RU_K2,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2015,0.0
AG_LND_EL5M_RU_ZS,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),agriculture,PCT,Agriculture & Rural Development,2015,0.0
AG_LND_FRST_K2,AG.LND.FRST.K2,Forest area (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2023,59620.3
AG_LND_FRST_ZS,AG.LND.FRST.ZS,Forest area (% of land area),agriculture,PCT,Agriculture & Rural Development,2023,41.5907220090687
AG_LND_IRIG_AG_ZS,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),agriculture,PCT,Agriculture & Rural Development,2023,32.2908041986058
AG_LND_PRCP_MM,AG.LND.PRCP.MM,Average precipitation in depth (mm per year),agriculture,MM_PER_YEAR,Agriculture & Rural Development,2022,1500.0
AG_LND_TOTL_K2,AG.LND.TOTL.K2,Land area (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2023,143350.0
AG_LND_TOTL_RU_K2,AG.LND.TOTL.RU.K2,Rural land area (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2015,140132.783502
AG_PRD_CREL_MT,AG.PRD.CREL.MT,Cereal production (metric tons),agriculture,METRIC_TONS,Agriculture & Rural Development,2023,11150994.25
AG_PRD_CROP_XD,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),agriculture,INDEX,Agriculture & Rural Development,2022,116.66
AG_PRD_FOOD_XD,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),agriculture,INDEX,Agriculture & Rural Development,2022,123.18
AG_PRD_LVSK_XD,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),agriculture,INDEX,Agriculture & Rural Development,2022,144.45
AG_SRF_TOTL_K2,AG.SRF.TOTL.K2,Surface area (sq. km),agriculture,SQ_KM,Agriculture & Rural Development,2023,147180.0
AG_YLD_CREL_KG,AG.YLD.CREL.KG,Cereal yield (kg per hectare),agriculture,KG_PER_HECTARE,Agriculture & Rural Development,2023,3344.3
EG_ELC_ACCS_RU_ZS,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",agriculture,PCT,Agriculture & Rural Development,2024,94.2
EN_POP_EL5M_RU_ZS,EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),agriculture,PCT,Agriculture & Rural Development,2015,0.0
ER_H2O_FWAG_ZS,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",agriculture,PCT,Agriculture & Rural Development,2022,98.13522023
NV_AGR_TOTL_CD,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",agriculture,USD,Agriculture & Rural Development,2025,9806608596.86782
NV_AGR_TOTL_ZS,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",agriculture,PCT,Agriculture & Rural Development,2025,21.5578137957376
SL_AGR_EMPL_FE_ZS,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",agriculture,PCT,Agriculture & Rural Development,2025,35.8609231159835
SL_AGR_EMPL_MA_ZS,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",agriculture,PCT,Agriculture & Rural Development,2025,15.2963607050918
SL_AGR_EMPL_ZS,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),agriculture,PCT,Agriculture & Rural Development,2025,22.9119744042875
TM_VAL_AGRI_ZS_UN,TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),agriculture,PCT,Agriculture & Rural Development,2022,1.29279766517618
TX_VAL_AGRI_ZS_UN,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),agriculture,PCT,Agriculture & Rural Development,2022,1.62694833173806
BG_GSR_NFSV_GD_ZS,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),economy,PCT,Economy & Growth,2024,9.62521446213055
BM_GSR_CMCP_ZS,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)",economy,PCT,Economy & Growth,2024,9.78664879386791
BM_GSR_FCTY_CD,BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)",economy,USD,Economy & Growth,2024,253175696.186733
BM_GSR_GNFS_CD,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)",economy,USD,Economy & Growth,2024,14406374427.785
BM_GSR_INSF_ZS,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)",economy,PCT,Economy & Growth,2024,4.39608498593263
BM_GSR_MRCH_CD,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",economy,USD,Economy & Growth,2024,12135894260.8496
BM_GSR_NFSV_CD,BM.GSR.NFSV.CD,"Service imports (BoP, current US$)",economy,USD,Economy & Growth,2024,2270480166.93539
BM_GSR_ROYL_CD,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)",economy,USD,Economy & Growth,2024,10417563.3908931
BM_GSR_TOTL_CD,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)",economy,USD,Economy & Growth,2024,14659550123.9717
BM_GSR_TRAN_ZS,BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)",economy,PCT,Economy & Growth,2024,20.1802882860495
BM_GSR_TRVL_ZS,BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)",economy,PCT,Economy & Growth,2024,65.1804545066703
BM_TRF_PRVT_CD,BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",economy,USD,Economy & Growth,2024,54848526.9853027
BM_TRF_PWKR_CD_DT,BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",economy,USD,Economy & Growth,2024,81687530.7216342
BN_CAB_XOKA_CD,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",economy,USD,Economy & Growth,2024,1679145881.89775
BN_CAB_XOKA_GD_ZS,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),economy,PCT,Economy & Growth,2024,3.87803253239857
BN_FIN_TOTL_CD,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",economy,USD,Economy & Growth,2024,2107477735.29519
BN_GSR_FCTY_CD,BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)",economy,USD,Economy & Growth,2024,638463801.692049
BN_GSR_GNFS_CD,BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",economy,USD,Economy & Growth,2024,-10964564479.1191
BN_GSR_MRCH_CD,BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",economy,USD,Economy & Growth,2024,-10591217256.135
BN_KAC_EOMS_CD,BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",economy,USD,Economy & Growth,2024,376046969.00941
BN_KLT_DINV_CD,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",economy,USD,Economy & Growth,2024,-56900207.0648417
BN_RES_INCL_CD,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",economy,USD,Economy & Growth,2024,3420467879.78274
BN_TRF_CURR_CD,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",economy,USD,Economy & Growth,2024,12005246559.3248
BN_TRF_KOGT_CD,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",economy,USD,Economy & Growth,2024,52284884.3880222
