commodity,days_present,notes
Cauli Local,3216,
Ginger,3215,
Cabbage(Local),3213,
Raddish White(Local),3212,
Chilli Dry,3212,
Potato Red,3211,
Bamboo Shoot,3208,
Onion Dry (Indian),3206,
Brd Leaf Mustard,3206,
Coriander Green,3206,
French Bean(Local),3204,
Tomato Small(Local),3202,
Carrot(Local),3201,
Onion Green,3199,
Spinach Leaf,3197,
Brinjal Long,3195,
Chilli Green,3195,
Garlic Dry Chinese,3192,
Mushroom(Kanya),3191,
Lime,3188,
Capsicum,3188,
Pumpkin,3178,
Tamarind,3177,
Bottle Gourd,3166,
Tofu,3159,
