commodity,market_code,matched_on
Cauli Local,110.1,2026-08-07
Ginger,301,2026-08-07
Cabbage(Local),108.1,2026-08-07
Raddish White(Local),114.1,2026-08-07
Chilli Dry,302,2026-08-07
Bamboo Shoot,161,2026-08-07
Onion Dry (Indian),106.1,2026-08-07
Brd Leaf Mustard,136,2026-08-07
Coriander Green,307,2026-08-07
French Bean(Local),119.1,2026-08-07
Tomato Small(Local),102.1,2026-08-07
Carrot(Local),107.1,2026-08-07
Onion Green,141,2026-08-07
Spinach Leaf,137,2026-08-07
Brinjal Long,115,2026-08-07
Chilli Green,303,2026-08-07
Garlic Dry Chinese,308.1,2026-08-07
Mushroom(Kanya),144.1,2026-08-07
Lime,203,2026-08-07
Capsicum,304,2026-08-07
Pumpkin,128,2026-08-07
Tamarind,160,2026-08-07
Bottle Gourd,123,2026-08-07
Tofu,162,2026-08-07
