bipad_level,bipad_id,bipad_title_en,reason,detail
municipality,58099,Bardiya National Park,not a local unit (protected or special area),bipad code None
municipality,31099,Chitwan National Park,not a local unit (protected or special area),bipad code None
municipality,76099,Chitwan National Park,not a local unit (protected or special area),bipad code None
municipality,35099,Chitwan National Park,not a local unit (protected or special area),bipad code None
municipality,34099,Chitwan National Park,not a local unit (protected or special area),bipad code None
municipality,45099,Dhorpatan Hunting Reserve,not a local unit (protected or special area),bipad code None
municipality,43099,Dhorpatan Hunting Reserve,not a local unit (protected or special area),bipad code None
municipality,77099,Dhorpatan Hunting Reserve,not a local unit (protected or special area),bipad code None
municipality,67099,Khaptad National Park,not a local unit (protected or special area),bipad code None
municipality,70099,Khaptad National Park,not a local unit (protected or special area),bipad code None
municipality,68099,Khaptad National Park,not a local unit (protected or special area),bipad code None
municipality,69099,Khaptad National Park,not a local unit (protected or special area),bipad code None
municipality,6099,Koshi Tappu Wildlife Reserve,not a local unit (protected or special area),bipad code None
municipality,14099,Koshi Tappu Wildlife Reserve,not a local unit (protected or special area),bipad code None
municipality,15099,Koshi Tappu Wildlife Reserve,not a local unit (protected or special area),bipad code None
municipality,28099,Langtang National Park,not a local unit (protected or special area),bipad code None
municipality,49099,Lumbini Sanskritik Development Area,not a local unit (protected or special area),bipad code None
municipality,31088,Parsa National Park,not a local unit (protected or special area),bipad code None
municipality,33099,Parsa National Park,not a local unit (protected or special area),bipad code None
municipality,28088,Shivapuri Watershed and Wildlife Reserve,not a local unit (protected or special area),bipad code None
municipality,72099,Shuklaphanta National Park,not a local unit (protected or special area),bipad code None
municipality,32005,Durga Bhagwati,two places resolve to the same geography,"NP0232402 claimed by Durga Bhagwati (bipad 32005), Yemunamai (bipad 32018)"
municipality,32018,Yemunamai,two places resolve to the same geography,"NP0232402 claimed by Durga Bhagwati (bipad 32005), Yemunamai (bipad 32018)"
