adm3_pcode,cod_name,census_name,district_pcode,census_dist,census_gapa,match
NP0101301,Phungling,Phungling Municipality,NP0101,1,6,exact
NP0101401,Phaktanlung,Phaktanlung Gaunpalika,NP0101,1,1,exact
NP0101402,Mikwakhola,Mikwakhola Gaunpalika,NP0101,1,2,exact
NP0101403,Sirijanga,Sirijanga Gaunpalika,NP0101,1,8,exact
NP0101404,Meringden,Meringden Gaunpalika,NP0101,1,3,exact
NP0101405,Maiwakhola,Maiwakhola Gaunpalika,NP0101,1,4,exact
NP0101406,Aatharai Tribeni,Aatharai Tribeni Gaunpalika,NP0101,1,5,exact
NP0101407,Pathivara Yangwarak,Pathivara Yangwarak Gaunpalika,NP0101,1,7,exact
NP0101408,Sidingba,Sidingba Gaunpalika,NP0101,1,9,exact
NP0102301,Phidim,Phidim Municipality,NP0102,9,4,exact
NP0102401,Hilihan,Hilihan Gaunpalika,NP0102,9,2,exact
NP0102402,Yangbarak,Yangbarak Gaunpalika,NP0102,9,1,exact
NP0102403,Falelung,Falelung Gaunpalika,NP0102,9,3,exact
NP0102404,Kummayak,Kummayak Gaunpalika,NP0102,9,6,exact
NP0102405,Falgunanda,Falgunanda Gaunpalika,NP0102,9,5,exact
NP0102406,Tumbewa,Tumbewa Gaunpalika,NP0102,9,7,exact
NP0102407,Miklajung,Miklajung Gaunpalika,NP0102,9,8,exact
NP0103301,Deumai,Deumai Municipality,NP0103,10,4,exact
NP0103302,Illam,Illam Municipality,NP0103,10,3,exact
NP0103303,Suryodaya,Suryodaya Municipality,NP0103,10,9,exact
NP0103304,Mai,Mai Municipality,NP0103,10,8,exact
NP0103401,Fakfokathum,Fakfokathum Gaunpalika,NP0103,10,5,exact
NP0103402,Sandakpur,Sandakpur Gaunpalika,NP0103,10,2,exact
NP0103403,Mai Jogmai,Mai Jogmai Gaunpalika,NP0103,10,1,exact
NP0103404,Chulachuli,Chulachuli Gaunpalika,NP0103,10,7,exact
NP0103405,Mangsebung,Mangsebung Gaunpalika,NP0103,10,6,exact
NP0103406,Rong,Rong Gaunpalika,NP0103,10,10,exact
NP0104301,Damak,Damak Municipality,NP0104,11,7,exact
NP0104302,Shivasatakshi,Shivasatakshi Municipality,NP0104,11,5,exact
NP0104303,Kankai,Kankai Municipality,NP0104,11,4,exact
NP0104304,Arjundhara,Arjundhara Municipality,NP0104,11,3,exact
NP0104305,Mechinagar,Mechinagar Municipality,NP0104,11,1,exact
NP0104306,Gauradaha,Gauradaha Municipality,NP0104,11,8,exact
NP0104307,Birtamod,Birtamod Municipality,NP0104,11,12,exact
NP0104308,Bhadrapur,Bhadrapur Municipality,NP0104,11,14,exact
NP0104401,Kamal,Kamal Gaunpalika,NP0104,11,6,exact
NP0104402,Buddhashanti,Buddhashanti Gaunpalika,NP0104,11,2,exact
NP0104403,Gauriganj,Gauriganj Gaunpalika,NP0104,11,9,exact
NP0104404,Jhapa,Jhapa Gaunpalika,NP0104,11,10,exact
NP0104405,Barhadashi,Barhadashi Gaunpalika,NP0104,11,11,exact
NP0104406,Haldibari,Haldibari Gaunpalika,NP0104,11,13,exact
NP0104407,Kachanakawal,Kachanakawal Gaunpalika,NP0104,11,15,exact
NP0105101,Biratnagar,Biratnagar Metropolitian City,NP0105,12,14,exact
NP0105301,Letang,Letang Municipality,NP0105,12,2,exact
NP0105302,Sundarharaicha,Sundarharaicha Municipality,NP0105,12,4,exact
NP0105303,Belbari,Belbari Municipality,NP0105,12,5,exact
NP0105304,Pathari Shanishchare,Pathari Shanishchare Municipality,NP0105,12,7,exact
NP0105305,Urlabari,Urlabari Municipality,NP0105,12,8,exact
NP0105306,Rangeli,Rangeli Municipality,NP0105,12,11,exact
NP0105307,Sunwarshi,Sunwarshi Municipality,NP0105,12,10,exact
NP0105308,Ratuwamai,Ratuwamai Municipality,NP0105,12,9,exact
NP0105401,Kerabari,Kerabari Gaunpalika,NP0105,12,3,exact
NP0105402,Miklajung,Miklajung Gaunpalika,NP0105,12,1,exact
NP0105403,Kanepokhari,Kanepokhari Gaunpalika,NP0105,12,6,exact
NP0105404,Budhiganga,Budhiganga Gaunpalika,NP0105,12,13,exact
NP0105405,Gramthan,Gramthan Gaunpalika,NP0105,12,12,exact
NP0105406,Katahari,Katahari Gaunpalika,NP0105,12,15,exact
NP0105407,Jahada,Jahada Gaunpalika,NP0105,12,17,exact
NP0105408,Dhanapalthan,Dhanapalthan Gaunpalika,NP0105,12,16,exact
NP0106201,Dharan,Dharan Sub-Metropolitian City,NP0106,13,1,exact
NP0106202,Itahari,Itahari Sub-Metropolitian City,NP0106,13,6,exact
NP0106301,Barahachhetra,Barahachhetra Municipality,NP0106,13,2,exact
NP0106302,Ramdhuni,Ramdhuni Municipality,NP0106,13,5,exact
NP0106303,Inaruwa,Inaruwa Municipality,NP0106,13,9,exact
NP0106304,Duhabi,Duhabi Municipality,NP0106,13,7,exact
NP0106401,Koshi,Koshi Gaunpalika,NP0106,13,3,exact
NP0106402,Bhokraha Narsingh,Bhokraha Narsingh Gaunpalika,NP0106,13,4,exact
NP0106403,Gadhi,Gadhi Gaunpalika,NP0106,13,8,exact
