local_code,local_name,local_type_ne,local_type_en,district_code,district_name,province_code,province_name,geoportal_fid
NP010101,Aathrai Tribeni,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,1
NP010102,Maiwakhola,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,2
NP010103,Meringden,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,3
NP010104,Mikwakhola,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,4
NP010105,Pathibhara Yangwarak,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,9
NP010106,Phaktanglung,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,5
NP010107,Phungling,Nagarpalika,Municipality,NP0101,Taplejung,NP01,Koshi,6
NP010108,Sidingba,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,7
NP010109,Sirijangha,Gaunpalika,Rural Municipality,NP0101,Taplejung,NP01,Koshi,8
NP010201,Falelung,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,10
NP010202,Falgunanda,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,11
NP010203,Hilihang,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,12
NP010204,Kummayak,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,13
NP010205,Miklajung,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,14
NP010206,Phidim,Nagarpalika,Municipality,NP0102,Panchthar,NP01,Koshi,15
NP010207,Tumbewa,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,16
NP010208,Yangwarak,Gaunpalika,Rural Municipality,NP0102,Panchthar,NP01,Koshi,17
NP010301,Chulachuli,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,18
NP010302,Deumai,Nagarpalika,Municipality,NP0103,Ilam,NP01,Koshi,19
NP010303,Fakphokthum,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,20
NP010304,Illam,Nagarpalika,Municipality,NP0103,Ilam,NP01,Koshi,21
NP010305,Mai,Nagarpalika,Municipality,NP0103,Ilam,NP01,Koshi,22
NP010306,Maijogmai,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,23
NP010307,Mangsebung,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,24
NP010308,Rong,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,25
NP010309,Sandakpur,Gaunpalika,Rural Municipality,NP0103,Ilam,NP01,Koshi,26
NP010310,Suryodaya,Nagarpalika,Municipality,NP0103,Ilam,NP01,Koshi,27
NP010401,Arjundhara,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,28
NP010402,Barhadashi,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,29
NP010403,Bhadrapur,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,30
NP010404,Birtamod,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,31
NP010405,Buddhashanti,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,32
NP010406,Damak,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,33
NP010407,Gauradhaha,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,34
NP010408,Gauriganj,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,35
NP010409,Haldibari,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,36
NP010410,Jhapa,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,37
NP010411,Kachankawal,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,38
NP010412,Kamal,Gaunpalika,Rural Municipality,NP0104,Jhapa,NP01,Koshi,39
NP010413,Kankai,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,40
NP010414,Mechinagar,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,41
NP010415,Shivasataxi,Nagarpalika,Municipality,NP0104,Jhapa,NP01,Koshi,42
NP010501,Belbari,Nagarpalika,Municipality,NP0105,Morang,NP01,Koshi,43
NP010502,Biratnagar,Mahanagarpalika,Metropolitan City,NP0105,Morang,NP01,Koshi,44
NP010503,Budhiganga,Gaunpalika,Rural Municipality,NP0105,Morang,NP01,Koshi,45
NP010504,Dhanpalthan,Gaunpalika,Rural Municipality,NP0105,Morang,NP01,Koshi,46
